id,productCode,productName,category,quantity,availableQuantity,availabilityRate,totalStockValue,marginPercentage,dailyInboundQty,dailyOutboundQty,daysWithoutOrder,saleStatusText,회전율%,액션
1,PROD-00001,에코 티셔츠 #1,의류,2500,1900,76.0,80000000,28.6,500,300,45,판매중,12.0,✅ 정상
2,PROD-00002,데님 팬츠 #2,의류,5,1,20.0,225000,22.2,100,150,120,품절,3000.0,🚨 긴급 재발주
3,PROD-00003,스포츠 조끼 #3,의류,1200,820,68.3,24000000,25.0,200,250,80,판매중,20.8,✅ 정상
4,PROD-00004,캐주얼 셔츠 #4,의류,50,20,40.0,2900000,20.7,50,100,200,단종,200.0,🟡 할인 판매
5,PROD-00005,프리미엄 코트 #5,의류,800,480,60.0,60000000,26.7,300,200,15,판매중,25.0,✅ 정상
6,PROD-00006,운동화 #6,신발,3500,2470,70.6,87500000,28.0,450,550,5,판매중,15.7,✅ 정상
7,PROD-00007,캐주얼 스니커즈 #7,신발,2200,1555,70.7,70400000,31.3,280,320,30,판매중,14.5,✅ 정상
8,PROD-00008,정장 구두 #8,신발,120,25,20.8,6240000,26.9,80,120,180,품절,100.0,🚨 긴급 재발주
9,PROD-00009,캔버스 가방 #9,가방,1800,1320,73.3,30600000,29.4,320,280,60,판매중,15.6,✅ 정상
10,PROD-00010,백팩 #10,가방,2600,1870,71.9,62400000,33.3,350,400,20,판매중,15.4,✅ 정상
11,PROD-00011,숄더백 #11,가방,450,200,44.4,17100000,26.3,120,180,210,단종,40.0,🟡 할인 판매
12,PROD-00012,클러치 #12,가방,580,355,61.2,25520000,27.3,150,200,55,판매중,34.5,✅ 정상
13,PROD-00013,목걸이 #13,액세서리,3200,2270,70.9,38400000,33.3,250,300,10,판매중,9.4,✅ 정상
14,PROD-00014,팔찌 #14,액세서리,1500,1030,68.7,15000000,40.0,180,220,90,판매중,14.7,✅ 정상
15,PROD-00015,반지 #15,액세서리,680,360,52.9,9520000,35.7,100,150,150,단종,22.1,🟡 할인 판매
16,PROD-00016,모자 #16,액세서리,2100,1450,69.0,23100000,36.4,200,250,70,판매중,11.9,✅ 정상
17,PROD-00017,기본 티셔츠 #17,의류,4500,3250,72.2,99000000,31.8,600,550,25,판매중,12.2,✅ 정상
18,PROD-00018,프리미엄 청바지 #18,의류,1900,1300,68.4,72200000,26.3,350,300,40,판매중,15.8,✅ 정상
19,PROD-00019,스포츠 팬츠 #19,의류,2300,1640,71.3,57500000,28.0,280,320,35,판매중,13.9,✅ 정상
20,PROD-00020,트렌디한 스커트 #20,의류,1400,1000,71.4,44800000,31.3,220,180,50,판매중,12.9,✅ 정상
